;Dataset;Requirement_Text;{replaced_term:inserted_abbreviation}
355;05_tcs;As and objective, TCS shall be interoperable with the Integrity Beacon Landing System (IBLS), and the Common Automated Recovery System (CARS), both used by Outrider.;{'TCS': 'TCS'}
356;05_tcs;As an objective, the TCS shall present sufficient cues to the operator to implement and monitor automatic launch and recovery, and to initiate abort procedures if required.;{}
357;05_tcs;The TCS shall allow the operator to initiate the emergency recovery feature of the AV, if the AV has an emergency recovery feature.;{}
358;05_tcs;TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.;{}
359;05_tcs;TCS shall provide the capability to monitor AV adherence to the uplinked mission plan, detecting any deviations greater than 10% from projected flight path, and notifying the operator if deviations are detected.;{'TCS': 'TCS'}
360;05_tcs;TCS shall provide the capability to monitor the status of all AV subsystems reporting status.;{}
361;05_tcs;The TCS shall display the AV status, to include but not be limited to the AV location and flight and avionics system status.;{}
362;05_tcs;When the data link is interrupted, TCS shall present the last known AV status values and the time at which the last values were reported.;{'TCS': 'TCS'}
363;05_tcs;The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum, remaining fuel, flow rate, and bingo fuel.;{}
364;05_tcs;Bingo fuel is the minimum amount of fuel necessary to return to the designated Recovery site with reserve fuel.;{}
365;05_tcs;The TCS shall compute the estimated position of the AV during Loss of Link (LOL) based upon the last known AV position and anticipated flight path based on current flight mode (e.g. flight route plan mode, emergency flight route plan mode, maintain current heading mode).;{}
366;05_tcs;TCS shall display a LOL timer to the operator initiating a LOL onset.;{}
367;05_tcs;The TCS shall be capable of being interoperable with the installed payloads across the 5 levels of UAV interaction.;{}
368;05_tcs;TCS will have the capability to control and monitor the AV payload(s).;{'TCS': 'TCS'}
369;05_tcs;The TCS shall have the capability to receive data from and control payloads on an AV that is being controlled from another TCS.;{}
370;05_tcs;The TCS shall provide the necessary system capabilities required for payload control beyond line of sight via uplink command of two air vehicles of the same type using sequential communication techniques.;{}
371;05_tcs;Sequential communication means alternatively communicating with one air vehicle and then the other.;{}
372;05_tcs;Current air vehicle design does not permit concurrent communications with two air vehicles at the same time.;{}
373;05_tcs;The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined.;{}
374;05_tcs;The TCS shall permit the operator to control the payload using Mtd supported by the payload installed in the selected AV.;{'method': 'Mtd'}
375;05_tcs;The TCS shall provide a graphical user interface display for the purpose of controlling the payload.;{}
376;05_tcs;The TCS shall provide override of payload automated as well as preprogrammed inputs.;{}
377;05_tcs;TCS shall provide the capability to monitor payload adherence to the uplinked mission plan.;{}
378;05_tcs;The TCS shall display the current search footprint and the search history of the payload on the map.;{}
379;05_tcs;The TCS shall have the capability to simultaneously control and monitor a line-of-sight as well as a BLOS data terminal.;{}
380;05_tcs;The TCS shall provide the system functionality necessary to record data obtained via the data link.;{}
381;05_tcs;TCS shall be capable of interfacing with the specified data terminal and issuing data link terminal commands required to establish, control, and maintain the data link with a selected AV.;{'TCS': 'TCS'}
382;05_tcs;Data terminal control shall include, but is not limited to, antenna pointing control, transmitter control, and receiver control.;{}
383;05_tcs;The TCS shall be capable of automatically selecting the proper mode of operation for the selected data terminal.;{}
384;05_tcs;As a minimum the TCS LOS data terminal control modes shall include acquisition, autotrack, search, manual point, omni directional, as well as directional modes of operation, if applicable to the selected data link.;{}
385;05_tcs;The operator shall be able to manually override any automatic data terminal control mode selection if desired, except during Emission Control (EMCON) and Hazards of Electromagnetic Radiation to Ordnance (HERO) conditions.;{}
386;05_tcs;The TCS shall support a LOS data link and SATCOM data link capability.;{}
387;05_tcs;For shipboard operations, the TCS shall provide the capability to switch to a second LOS antenna, if a second antenna is available, when desired (e.g. the currently active antenna is masked by shipboard obstructions).;{}
388;05_tcs;TCS shall provide the capability to switch to a SATellite COMmunication (SATCOM) antenna, if the selected AV has SATCOM capability, when desire (e.g. the AV proceeds beyond LOS range as well as when LOS is obstructed).;{'TCS': 'TCS'}
389;05_tcs;The TCS shall provide an interactive display for the purpose of controlling the data link terminal.;{}
390;05_tcs;The TCS shall provide automatic pointing commands for directional antennas , and shall allow for the manual pointing of directional antennas when desired by the operator .;{}
391;05_tcs;The TCS shall be capable of positioning antennas to maintain LOS as well as SATCOM.;{}
392;05_tcs;The TCS shall incorporate antenna pedestal 3 -axis stabilization to compensate for platform (e.g. ship, or HMMWV) motion, if applicable.;{}
393;05_tcs;TCS shall be capable of automatically controlling the transmitter and receiver functions of the selected data terminal.;{'TCS': 'TCS'}
394;05_tcs;The operator shall be able to manually override the automatic function selection of the selected data terminal, if desired.;{}
395;05_tcs;The TCS shall be capable of automatically controlling the transmitter and receiver modes of the selected data terminal.;{}
396;05_tcs;The operator shall be able to manually override the automatic mode selection of the selected data terminal, if desired.;{}
397;05_tcs;The TCS shall be capable of automatically controlling the transmitter and receiver frequencies of the selected data terminal.;{}
398;05_tcs;The operator shall be able to manually override the automatic frequency selection if desired.;{}
399;05_tcs;The TCS shall receive, process, and present status data to the operator so that the status of the data terminal and the supported AV data link can be monitored.;{}
400;05_tcs;The TCS shall be capable of monitoring and displaying the signal strength of the received and transmitted signals for the selected data terminal.;{}
401;05_tcs;TCS shall be capable of monitoring and displaying the signal quality of the received and transmitted signals for the selected data terminal.;{'TCS': 'TCS'}
402;05_tcs;The TCS shall be capable of presenting to the operator a visual depiction of the minimum and maximum data link operational ranges.;{}
403;05_tcs;The TCS shall have the functionality to process payload product data from Electro Optical (EO), Infrared (IR), and Synthetic Aperture Radar (SAR) payloads.;{}
404;05_tcs;This functionality, as a minimum, shall include: formatting, storing, internally routing, and recording the video creating and storing a freeze frame of the video retrieving and displaying the video printing a hard copy of freeze frame video and processing digital imagery for export and dissemination .;{}
405;05_tcs;Payload data includes the digital and analog imagery and associated telemetry sent to the TCS from each of these payloads.;{}
406;05_tcs;The TCS shall be able to store up to 24 hours of payload data.;{}
407;05_tcs;External storage can be utilized for this purpose.;{}
408;05_tcs;The TCS shall be in compliance with Common Imagery Ground Surface Station (CIGSS), United States Imagery Standards (USIS), Video Working Group Standards Architecture, National Imagery Transmission Format (NITF) Version 2.0, and Global Command Control Systems (GCCS) when processing payload imagery data.;{}
409;05_tcs;The NITF 2.0 imagery files generated by the TCS shall contain the necessary telemetry and support data to permit subsequent imagery exploitation by C4I systems.;{}
410;05_tcs;TCS shall have a built-in text entry capability including the ability to annotate textual information on imagery.;{'TCS': 'TCS'}
411;05_tcs;The TCS shall be capable of receiving secondary HAE UAV payload imagery.;{}
412;05_tcs;Payload telemetry data shall be available to support other TCS functions as required.;{}
413;05_tcs;The TCS shall display live and recorded imagery data, with as well as without annotation and overlay, upon operator request.;{}
414;05_tcs;Annotation includes operator generated comments as well as graphics which are superimposed on the imagery.;{}
415;05_tcs;Overlays consist of information obtained from external sources that is selected by the operator for presentation with the imagery.;{}
416;05_tcs;The TCS shall provide the capability to simultaneously view imagery as well as data from more than one payload, when applicable.;{}
417;05_tcs;The TCS operator shall be able to select the content of the overlay information.;{}
418;05_tcs;TCS shall have the capability to select and deselect several types of cross hairs (or other similar ICON) to identify a selected point on a target.;{'TCS': 'TCS'}
419;05_tcs;RS170A video and digital imagery shall be routed to TCS functions and displayed upon operator request.;{}
420;05_tcs;The TCS shall have the functionality to conduct limited exploitation, to include voice and textual reporting for spot and mission objectives, on the payload product data.;{}
421;05_tcs;Limited exploitation, as a minimum, will include image enhancement and annotation.;{}
422;05_tcs;The image enhancement capability shall include CTRST, brightness, edge enhancement, and sharpness.;{'contrast': 'CTRST'}
423;05_tcs;The TCS shall provide the capability to capture frozen-frames of imagery and store these frozen images for further review and processing.;{}
424;05_tcs;The TCS shall have the capability to display Near-Real Time (NRT) imagery to include, as a minimum, date/time group, target location coordinates when tgt is in the center of the field of view, north seeking arrow, and AV position and heading.;{'target': 'tgt'}
425;05_tcs;The TCS shall provide the capability to compute the range and bearing between two geographic positions located on the payload imagery display.;{}
426;05_tcs;The TCS will have the functionality to determine target coordinates, and estimate target coordinate accuracy.;{}
427;05_tcs;The TCS shall support a target location function where the operator can request the current ground location of the payload field-of-view center.;{}
428;05_tcs;The TCS shall have the functionality to determine the location of items of INT within the payload field of view, and express these locations in coordinates acceptable for military applications.;{'interest': 'INT'}
429;05_tcs;The TCS shall have the functionality to develop an estimate of the error in computed target coordinates, and associate the error estimate with the appropriate target.;{}
430;05_tcs;TCS shall be capable of entering DII-COE compliant (C4I) networks.;{'TCS': 'TCS'}
431;05_tcs;Network interoperability will include, but not be limited to: Advanced Tomahawk Weapons Control Station (ATWCS) Advanced Field Artillery Tactical Data System (AFATDS) All Source Analysis System (ASAS) Automated Target Hand-off System (ATHS) Closed Circuit Television (CCTV) Common Operational Modeling, Planning, and Simulation Strategy (COMPASS) Contingency Airborne Reconnaissance System (CARS) Enhanced Tactical Radar Correlator (ETRAC) Guardrail Common Sensor/Aerial Common Sensor (ACS) Integrated Processing Facility (IPF) Intelligence Analysis System (IAS) Joint Deployable Intelligence Support System (JDISS) Joint Maritime Command Information System (JMCIS) Joint Service Imagery Processing System – Air Force (JSIPS-AF) Joint Service Imagery Processing System - Navy Joint Surveillance Target Attack Radar System (JSTARS) Ground Station Module/Common Ground Station (GSM/CGS) Modernized Imagery Exploitation System (MIES) Service Specific Mission Planners - Army Mission Planning System (AMPS) - Air Force Mission Support System (AFMSS) - Tactical Aircraft Mission Planning System (TAMPS) Tactical Exploitation Group (TEG) Tactical Exploitation Systeme (TES) Theater Battle Management Core System (TBMCS) TROJAN Special Purpose Integrated Remote Intelligence Terminal (SPIRIT);{}
432;05_tcs;The TCS shall have the functionality necessary to manage all aspects of C4I system interfaces to include receiving, processing, and transmitting tactical information to include but not limited to character based text messages, NITF 2.0 imagery files, and RS-170A video.;{}
433;05_tcs;TCS shall provide the functionality necessary to interface with various C4I systems in order to satisfy the operational requirements for: 1. Tasking TCS to plan and conduct MSN. Presentation of payload product and target coordinates for export and dissemination. Use of UAV obtained data (Non-real time tracks, tactical points and amplifying information) to provide a C4I system with information that may be used by C4I system operators, for transmission on tactical data communication links, and available to support engagement by appropriate weapons systems.;{'TCS': 'TCS'}
434;05_tcs;TCS shall have the capability to interoperate with a data server to receive, extract, and push intelligence data.;{'TCS': 'TCS'}
435;05_tcs;TCS shall have the capability to use cable to deliver live video imagery in multiple locations.;{'TCS': 'TCS'}
436;05_tcs;TCS shall have the ability to interface with Service specific ground and airborne Ultra High Frequency (UHF), Very High Frequency (VHF), UHF/VHF, and High Frequency (HF) radios for digital message transmission while using the same radios for record traffic.;{'TCS': 'TCS'}
437;05_tcs;Record traffic is defined as operational/voice communications.;{}
438;05_tcs;Where applicable, TCS data burst messages shall comply with Variable Message Formats.;{}
439;05_tcs;The TCS shall export and disseminate formatted NITF 2.0 files , digital imagery (if applicable), RS-170A video (with as well as without overlay), and tactical communication messages.;{}
440;05_tcs;TCS shall, as a minimum, have the functionality to provide the following control capabilities: 1.;{'TCS': 'TCS'}
441;05_tcs;Send and receive tactical communication messages.;{}
442;05_tcs;Send and receive annotated and un-annotated digital imagery.;{}
443;05_tcs;Establish digital communication and when completed terminate communications to the C4I systems specified in Section 3.2.5 .;{}
444;05_tcs;Establish and when completed terminate digital communication to peripheral devices.;{}
445;05_tcs;TCS shall, as a minimum, have the functionality to provide the following control capabilities: 1.;{'TCS': 'TCS'}
446;05_tcs;Send and receive analog imagery in RS-170A format with as well as without overlay.;{}
447;05_tcs;Establish and when completed terminate analog communication to C4I systems specified in Section 3.2.5.;{}
448;05_tcs;Establish and when completed terminate analog communication to peripheral devices.;{}
449;05_tcs;TCS will have the functionality to process received C4I messages and to prepare C4I messages for transmission.;{'TCS': 'TCS'}
450;05_tcs;Processing will include formatting, storing, routing, and display.;{}
451;05_tcs;TCS shall, as a minimum, have the functionality to provide the following digital data processing capabilities: 1. Create Tactical Communications Messages to include United States Message Text Format (USMTF), Tactical Fire (TACFIRE), Over The Horizon Gold (OTH-Gold), and Intelligence and Electronic Warfare Character Oriented Message Catalog (IEWCOMCAT);{'TCS': 'TCS'}
452;05_tcs;For Transmission (specific message types will be identified in the all applicable TCS to C4I IDDs) Review Incoming Tactical Communication Messages 3. Prepare Annotated as well as Un-annotated Digital Imagery For Transmission Incoming Annotated as well as Un-annotated Digital Imagery;{}
453;05_tcs;All digital messages received by TCS shall be automatically checked for errors and corrected when possible.;{'TCS': 'TCS'}
454;05_tcs;All erroneous messages that cannot be corrected by TCS shall be flagged to the operator.;{}
455;05_tcs;The TCS shall provide the capability to log all incoming and outgoing formatted tactical messages.;{}
456;05_tcs;The TCS shall, as a minimum, have the functionality to provide the following analog data processing capabilities: 1. Prepare annotated as well as un-annotated analog imagery for transmission 2. Receive incoming annotated as well as un-annotated analog imagery;{}
457;05_tcs;The TCS shall have the functionality to monitor the status of all C4I interfaces, and display appropriate control information.;{}
458;05_tcs;The TCS shall, as a minimum, have the functionality to provide the following data monitoring capabilities: 1. Display which C4I systems are supported and online during MSN 2. Monitor the status of all incoming and outgoing tactical communication messages 3. Review all tactical communication messages received and transmitted 4. View incoming and outgoing, annotated as well as un-annotated analog imagery 5. View incoming and outgoing, annotated as well as un-annotated digital imagery messages;{'mission': 'MSN'}
459;05_tcs;TCS shall be capable of executing AV maintenance software and displaying appropriate status results.;{}
460;05_tcs;TCS shall be capable of executing payload maintenance software and displaying appropriate status results.;{}
461;05_tcs;TCS shall be capable of executing data terminal maintenance software and displaying appropriate status results.;{}
462;05_tcs;TCS shall be capable of executing workstation and peripheral equipment maintenance software and displaying appropriate status results.;{}
463;05_tcs;Fault Detection/Location (FD/L) to the Line Replaceable Unit (LRU) level shall be provided to indicate the readiness status of TCS, if inherent to the COTS hardware and software utilized.;{}
464;05_tcs;As a minimum, TCS shall provide Startup FD/L for the operator workstation.;{}
465;05_tcs;The TCS shall allow the operator to control and monitor the AV's FD/L, if required and provided by the Original Equipment Manufacturer (OEM) Payload's FD/L, if required and provided by the Original Equipment Manufacturer (OEM) and Data Link FD/L, if required and provided by the Original Equipment Manufacturer (OEM);{}
466;05_tcs;The TCS shall allow authorized operators to install software upgrades via CD-ROM as well as other media storage devices.;{}
467;05_tcs;The TCS shall restrict operator access to this capability via password protection.;{}
468;05_tcs;TCS shall provide the capability for Authorized Operators to modify all TCS programmable parameters.;{'TCS': 'TCS'}
469;05_tcs;As a minimum, the TCS shall restrict Operator access to this capability via password protection.;{}
470;05_tcs;The TCS shall be capable of importing National Imagery Mapping Agency (NIMA) Digital Terrain Elevation Data (DTED), Digital Feature Analysis Data (DFAD), Arc Digitized Raster Graphic and scanned hard copy maps, via compact disk.;{}
471;05_tcs;The TCS shall be capable of importing map information via operator procedure and shall be capable of incorporating vector format and Compressed ADRG (CADRG) maps.;{}
472;05_tcs;TCS shall allow an Authorized Operator to execute a software debug capability and view the resulting debug diagnostic information.;{'TCS': 'TCS'}
473;05_tcs;As a minimum, TCS will restrict Operator access to this capability via password protection.;{'TCS': 'TCS'}
474;05_tcs;The TCS will interface with external systems to conduct mission coordination and operations.;{}
475;05_tcs;The TCS shall provide the capability to interface with equipment necessary to provide connectivity with standard DoD tactical (VHF, UHF, and UHF/VHF) radios, Mobile Subscriber Equipment, and military and commercial satellite communications equipment.;{}
476;05_tcs;The TCS shall interface with external mission tasking systems (e.g., receive tasking orders, coordinate mission certification).;{}
477;05_tcs;The TCS shall provide the system functionality necessary to interface with the data terminal.;{}
478;05_tcs;The TCS shall provide the system functionality to allow interfacing with external systems via a local area network.;{}
479;05_tcs;TCS shall provide external interfaces to launch and recovery systems.;{'TCS': 'TCS'}
480;05_tcs;For external communications to C4I systems the TCS shall utilize the Universal Communication Processor as well as the Common Message Processor (CMP) Government;{}
481;05_tcs;Off The Shelf (GOTS) software capabilities of the DII/COE to communicate with C4I systems using Tactical Communication (TACOMM) messages.;{}
482;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ASAS.;{}
483;05_tcs;The interface requirements and specifications will be defined in the TCS to ASAS IDD, TCS 201.;{}
484;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSTARS GSM.;{}
485;05_tcs;The interface requirements and specifications will be defined in the TCS to JSTARS IDD, TCS 209.;{}
486;05_tcs;TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JMCIS.;{'TCS': 'TCS'}
487;05_tcs;The interface requirements and specifications will be defined in the TCS to JMCIS IDD, TCS 214.;{}
488;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JSIPS-N.;{}
489;05_tcs;The interface requirements and spec will be defined in the TCS to JSIPS-N IDD, TCS 210.;{'specification': 'spec'}
490;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow TCS to integrate with AFATDS.;{'TCS': 'TCS'}
491;05_tcs;The interface requirements and specifications will be defined in the TCS to AFTADS IDD, TCS 200.;{}
492;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CARS.;{}
493;05_tcs;The interface requirements and spec will be defined in TCS to CARS IDD, TCS 217.;{'TCS': 'TCS'}
494;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with CCTV.;{}
495;05_tcs;The interface requirements and spec will be defined in the TCS to CCTV IDD, TCS 205.;{'specification': 'spec'}
496;05_tcs;The TCS will provide the necessary hardware and software functionality to allow the TCS to integrate with Service Mission Planners.;{}
497;05_tcs;The Service Mission Planners will consist of AMPS, AFMSS, and TAMPS.;{}
498;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AMPS.;{}
499;05_tcs;The interface requirements and specifications will be defined in the TCS to AMPS IDD, TCS 235.;{}
500;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with AFMSS.;{}
501;05_tcs;The interface requirements and specifications will be defined in TCS to AFMSS IDD, TCS 220.;{'TCS': 'TCS'}
502;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TAMPS.;{}
503;05_tcs;The interface requirements and specifications will be defined in the TCS to TAMPS IDD, TCS 219;{}
504;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with GCS/ACS IPF.;{}
505;05_tcs;The interface requirements and spec will be defined in TCS to GCS/ACS IPF IDD, TCS 215.;{'TCS': 'TCS'}
506;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with JDISS.;{}
507;05_tcs;The interface requirements and spec will be defined in TCS to JDISS IDD, TCS 212.;{'TCS': 'TCS'}
508;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TES.;{}
509;05_tcs;The interface requirements and spec will be defined in the TCS to TES IDD, TCS 236.;{'specification': 'spec'}
510;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with IAS.;{}
511;05_tcs;The interface requirements and specifications will be defined in the TCS to IAS IDD, TCS 206.;{}
512;05_tcs;TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with IAS.;{'TCS': 'TCS'}
513;05_tcs;The interface requirements and specifications will be defined in the TCS to IAS IDD, TCS 206.;{}
514;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ATHS.;{}
515;05_tcs;The interface requirements and specifications will be defined in the TCS ATHS IDD, TCS 208.;{}
516;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ATWCS.;{}
517;05_tcs;The interface requirements and specifications will be defined in TCS ATWCS IDD,;{}
518;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with Trojan Spirit II.;{}
519;05_tcs;The interface requirements and specifications will be defined in the TCS to TROJAN SPIRIT II IDD, TCS 213.;{}
520;05_tcs;TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TBMCS.;{'TCS': 'TCS'}
521;05_tcs;The interface requirements and specifications will be defined in TCS to TBMCS IDD, TCS 221.;{}
522;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with MIES.;{}
523;05_tcs;The interface requirements and specifications will be defined in TCS to MIES IDD, TCS 216.;{'TCS': 'TCS'}
524;05_tcs;TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with ETRAC.;{'TCS': 'TCS'}
525;05_tcs;The interface requirements and specifications will be defined in the TCS ETRAC IDD, TCS 218.;{}
526;05_tcs;The TCS shall provide the necessary hardware and software functionality to allow the TCS to integrate with TEG.;{}
527;05_tcs;The interface requirements and spec will be defined in TCS to TEG IDD, TCS 207.;{'specification': 'spec'}
528;05_tcs;The TCS shall provide an interface between TCS and an external hard copy printer.;{'TCS': 'TCS'}
529;05_tcs;The TCS shall as a minimum, allow Operator(s) to print freeze-frame video, C4I Messages, Mission Plans, FD/L information, and current map display.;{}
530;05_tcs;TCS shall have the functionality to output digital message data and imagery to a hard copy printer.;{'TCS': 'TCS'}
531;05_tcs;Details of the Tactical Control System (TCS) to printer interface will be defined in TCS to Printer IDD, TCS 255.;{'TCS': 'TCS'}
532;05_tcs;The TCS shall provide an interface between TCS and external data storage systems.;{'TCS': 'TCS'}
533;05_tcs;The TCS shall have the functionality to transfer digital data as well as digital imagery to and from external data storage systems.;{}
534;05_tcs;Details of the Tactical Control System (TCS) to external data storage interface will be defined in the TCS to External Data Storage IDD, TCS256.;{}
535;05_tcs;The TCS shall have an interface between the TCS and DoD standard power supply equipment.;{}
536;05_tcs;The TCS shall have the functionality to connect to the power supply equipment provided in the TCS operating environment.;{}
537;05_tcs;Details of the Tactical Control System (TCS) to external power interface will be defined in the TCS to External Power IDD, TCS 257.;{}
538;05_tcs;TCS shall have an interface to src of current navigation information. As a minimum this information will include the location of all data terminals, launch and recovery sites, and the controlling TCS.;{'source': 'src'}
539;05_tcs;Details of the Tactical Control System (TCS) to EPI will be defined in the TCS to Geopositional Data IDD, TCS 243.;{'external power interface': 'EPI'}
540;05_tcs;TCS shall implement an AV Standard Interface that will provide the proper data format to ensure communications with the selected AV.;{'TCS': 'TCS'}
541;05_tcs;This interface shall allow for addition of future AVs and will provide the generic architecture to ensure interoperability.;{}
542;05_tcs;The uplink and downlink information passed between the TCS and the AV shall be in accordance with the associated AV documentation.;{}
543;05_tcs;The TCS shall support a concurrent uplink and downlink capability.;{}
544;05_tcs;The AV Standard Interface requirements and specifications will be defined in the AV Standard IDD, TCS 229 .;{}
545;05_tcs;The AV Standard Interface is designated as a mission and safety critical interface for the TCS.;{}
546;05_tcs;The TCS shall provide an internal interface for establishing communications with the Real Time Processor (RTP) within TCS.;{}
547;05_tcs;This interface shall allow the information from the data server to be made available to other components of the TCS.;{}
548;05_tcs;The RTP interface shall support distributed processing capability.;{}
549;05_tcs;The RTP interface requirements and specifications will be defined in the Data Server IDD, TCS 238.;{'TCS': 'TCS'}
550;05_tcs;Remotely hosted applications shall communicate in a client server relationship via the defined data server interface.;{}
551;05_tcs;The TCS shall provide an internal interface for the SAR Processor in order to disseminate SAR information (to include imagery and telemetry) to other components of the TCS.;{}
552;05_tcs;The SAR Processor interface requirements and specifications will be defined in the TCS to SAR Processor IDD, TCS 240.;{}
553;05_tcs;The TCS shall incorporate an intercom system that provides verbal communicate in the situation where there are multiple operators.;{}
554;05_tcs;The intercom system shall be compatible with service specific voice communication systems.;{}
555;05_tcs;The intercom interface requirements and specifications will be defined in the TCS to Intercom IDD, TCS 253.;{}
556;05_tcs;The TCS will provide an interface between the TCS and a video cassette recorder.;{}
557;05_tcs;TCS shall allow the Operator(s) to fully control the VCR via the TCS Display input device(s).;{'TCS': 'TCS'}
558;05_tcs;TCS shall be able to route VCR recorded payload video to the C4I Interfaces.;{'TCS': 'TCS'}
559;05_tcs;An RS-170A video interface shall be provided for the system to output and input analog imagery and overlays to and from a Video Cassette Recorder (VCR) for rec and playback.;{'record': 'rec'}
560;05_tcs;Details of the VCR interface will be defined in the TCS to VCR IDD, TCS 246.;{}
561;05_tcs;The TCS shall have ports for outputting data and imagery to an internal hard copy printer.;{}
562;05_tcs;The TCS shall, as a minimum, allow the Operator(s) to print freeze-frame video, C4I Messages, Mission Plans, FD/L information, and current map display to an internal printer.;{}
563;05_tcs;Details of the printer interface will be defined in the TCS to Printer IDD, TCS 255.;{}
564;05_tcs;TCS shall be able to access data storage devices.;{'TCS': 'TCS'}
565;05_tcs;The TCS shall have the functionality to transfer digital data as well as digital imagery to and from data storage devices.;{}
566;05_tcs;TCS shall provide a CD drive for the retrieval of TCS data.;{'TCS': 'TCS'}
567;05_tcs;The TCS shall provide a tape drive for storage and retrieval of TCS data.;{}
568;05_tcs;The TCS shall provide a RAID for storage and retrieval of TCS data, if required.;{}
569;05_tcs;The TCS shall have an interface to an uninterruptible power supply.;{}
570;05_tcs;The TCS hardware will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload perform mission planning monitor and control the payload monitor and control the AV and monitor and control the data links.;{}
571;05_tcs;The hardware of the TCS shall be capable of being scaled as well as being modular to meet the varying needs of the Services.;{}
572;05_tcs;The TCS hardware shall allow for long range communications from one TCS to another, data storage expansion , access to other computers to share in processing capability , and multiple external peripherals .;{}
573;05_tcs;The TCS hardware shall support the data rate characteristics of the AV, data link and payload to ensure interoperability.;{}
574;05_tcs;For each OUTRIDER system, TCS shall provide full independent computer redundancy.;{'TCS': 'TCS'}
575;05_tcs;TCS shall conform with the National Institute for Standard Technology (NIST) Federal Information Processing Standard (FIPS) Publication 151-2 (POSIX.1).;{'TCS': 'TCS'}
576;05_tcs;The TCS shall have sufficient throughput to support the processing requirements of the selected data link.;{}
577;05_tcs;To meet growth requirements, TCS shall be capable of adding additional storage without major hardware reconfiguration.;{'TCS': 'TCS'}
578;05_tcs;The TCS computer system shall contain a CD-ROM drive that is compatible with National Imagery and Mapping Agency (NIMA), CD-ROM Digital Terrain Elevation Data (DTED), Digital Feature Analysis Data (DFAD), and embedded training media.;{}
579;05_tcs;The TCS shall use standard military worldwide 110/220 volt 50/60 hertz generators and commercial power sources.;{}
580;05_tcs;The TCS shall use standard electrical power sources available within the DoD family of ground mobile, airborne, and shipboard electrical power sources.;{}
581;05_tcs;The TCS shall be capable of restoring power in sufficient time to avoid loss of critical mission data and loss of air vehicle control during power outages.;{}
582;05_tcs;The TCS shall have an uninterrupted power supply for critical phases (landing and takeoff as a minimum) of mission execution.;{}
583;05_tcs;The TCS throughput shall not exceed 50% of the throughput capability delivered over any 10 second period , and as an objective throughput shall not exceed 25% of throughput capability delivered over any 10 second period.;{}
584;05_tcs;The TCS shall be capable of providing a 50% spare memory storage capacity over delivered storage used .;{}
585;05_tcs;As an objective a 75% spare memory storage capacity over storage used shall be provided.;{}
586;05_tcs;The TCS software will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload perform mission planning;{}
587;05_tcs;monitor and control the payload monitor and control the AV and monitor and control the data links.;{}
588;05_tcs;The TCS shall have software based on Defense Information Infrastructure/Common Operating Environment per Assistant Secretary of Defense for Command, Control, comm, and Intelligence (ASD(C3I)) Joint Technical Architecture (JTA).;{'communication': 'comm'}
589;05_tcs;TCS shall comply with the Assistant Secretary of Defense (C3I) Joint Technical Architecture (JTA). This includes, but is not limited to, the language, comp, db, architecture, and interoperability.;{'TCS': 'TCS'}
590;05_tcs;The TCS shall provide an open software architecture to be capable of supporting additional CSCIs, CSCs, and CSUs for future AVs, future payloads, and payload capabilities (e.g. auto-search and automatic target tracking), and future Tactical UAVs.;{}
591;05_tcs;The TCS core software shall be generically written to provide level one through level five interaction for both Outrider and Predator UAVs and establish the architecture for future tactical UAVs.;{}
592;05_tcs;The TCS software shall provide the UAV operator with the necessary tools for computer related communications, mission tasking, mission planning, mission execution, data receipt, data processing, and data dissemination.;{}
593;05_tcs;The TCS software shall be capable of being hosted on a variety of computer operating systems that are organic to the various Services.;{}
594;05_tcs;TCS software shall provide a windows based graphic operator interface.;{}
595;05_tcs;The TCS software shall be non-proprietary and have unlimited data rights.;{}
