AA;Anti-alias
NEC;Nippon Electronics Company
NEM;New Economic Movement
Net;network
NetBEUI;NetBIOS Enhanced User Interface
NetBIOS;Network Basic Input/Output System
NFC;near-field communication
NFR;Not For Resell
NFS;network file system
NG;newsgroup
NIC;network interface card
NIDS;network intrusion detection system
NII;National Information Infrastructure
NiMH;nickel-metal hydride
Nimrod;National Institute Machine Radiating On Downs
NIP;non-impact printer
NIT;Network Information Table
NLP;natural language processing
NLQ;near letter-quality
NLS;online system
NLX;New Low Profile Extended
nm;nanometer
NMI;nonmaskable interrupt
NMS;network management system
NN;NOT NULL
NNTP;Network News Transfer Protocol
NO-OP;no operatation
NOR;Not-Or
NOS;network operating system
NPAPI;Netscape Plugin Application Programming Interface
NPC;NP-Complete
NPC;non-printing character
NPC;non-playable character
NRZ;non-return-to-zero
ns;nanosecond
NSAP;Network Service Access Point
NSFNET;National Science Foundation Network
NSP;news service provider
NSP;network service provider
NSP;Name Server Protocol
NSPA;Network Service Point Address
NSSN;National Standards Systems Network
NTFS;NTFS file system
NTLDR;NT loader
NTP;Network Time Protocol
NTSC;National Television System Committee
NTWY;noteworthy
NUC;Next Unit of Computing
Num;number
NVRAM;non-volatile random-access memory
NWAM;Network Auto Magic
OA;office automation
OBJ;object
OCR;optical character recognition
OCTAVE;operationally critical threat, asset, and vulnerability evaluation
ODBC;Open Database Connectivity
ODI;Open Data-Link Interface
ODP;OverDrive Processor
ODPR;OverDrive Processor Replacement
OEM;original equipment manufacturer
OHCI;Open Host Controller Inferface
OID;object identifier
OIN;Open Invention Network
OLAP;online analytical processing
OLE;Object Linking and Embedding
OLED;organic light-emitting diode
OLPC;one laptop per child
OLTP;online transaction processing
OMR;optical mark reading
OO;object-oriented or OpenOffice
OOF;out of office
OOP;object-oriented programming
OP;operator
OP;original poster
OP;overpowered
OP;operation
Open;open source
OpenAL;Open Audio Library
OpenGL;Open Graphics Library
OR;operations research
OR;OR operator
OS;operating system
OSD;open source definition
OSD;object-based storage device
OSD;on-screen display
OSF;Open Software Foundation
OSHA;Occupational Safety and Health Administration
OSI;Open Systems Interconnection
OSI;Open-Source Initiative
OSK;on-screen keyboard
OSPF;open shortest path first
OSRI;operating system reinstall
OSS;open-source software
OTP;one-time password
OTP;one-time programmable
OTP;on the phone
OVR;overtype mode
P2W;pay-to-win
PaaS;Platform as a Service
PAD;packet assembler/disassembler
PAE;Physical Address Extension
PARC;Palo Alto Research Center
Parm;parameter
PATA;Parallel AT Attachment
Pb;petabit
PB;Packard Bell
PB;petabyte
PBX;private branch exchange
PBX;private branch extension
PC;personal computer
PCB;printed circuit board
PC-DOS;Personal Computer Disk operating system
PCI;Peripheral Component Interconnect
PCIe;PCI Express
PCI-X;Peripheral Component Interconnect Extended
PCL;printer command language
PCM;pulse-code modulation
PCMCIA;Personal Computer Memory Card International Association
P-code;pseudocode
P-code;packed code
PDA;personal digital assistant
PDC;Primary Domain Controller
PDF;Portable Document Format
PDL;page-description layer
PDP;Programmed Data Processor
PDU;protocol data unit
PEAR;PHP Extension and Application Repository
PEGI;Pan-European game information
PEP;Packet Ensemble Protocol
Permalink;permanent link
PET;Personal Electronic Transactor
PGA;Professional Golf Association
PGA;Professional Graphics Adapter
PGA;pin grid array
Pg Dn;page down
PGP;Pretty Good Privacy
Pg Up;page up
PHP;Hypertext Preprocessor
Pic;picture
PICO;PIne COmposer
PICS;Platform for Internet Content Selection
PID;product identification
PID;process identifier
PIF;program information file
PII;Pentium 2
PII;personally identifiable information
PIIX;PCI IDE Xcelerator
PIM;personal information management
PIM;Protocol Independent Multicast
PIN;personal identification number
PIO;programmed input/output
PL;power leveling
PLCC;plastic leaded chip carrier
PLED;Power LED
Plus;Microsoft Plus!
PM;polarization maintaining
PM;post meridiem
PM;preventive maintenance
PM;Presentation Manager
PM;personal message
PM;power management
PM;private message
P-machine;pseudomachine
PMF;polarization maintaining fiber
PMS;Pantone Matching System
PN;part number
PNG;Portable Network Graphics
PnP;Plug and Play
POD;plain old documentation
POE;point of entry
POE;Power over Ethernet
POP;Post Office Protocol
PoS;Proof-of-Stake
POS;packet over SONET
POSIX;Portable operating system interface for Unix
POST;power-on self-text
POTS;plain old telephone system
POV;point of view
PoW;Proof-of-Work
PPC;pay per click
PPGA;Plastic Pin Grid Array
PPI;pixels per inch
PPM;pages per minute
PPP;Point-to-Point Protocol
PPPoE;Point-to-Point Protocol over Ethernet
PPS;Privacy Policy Statement
PPT;PowerPoint
PPTP;Point-to-Point Tunnel Protocol
PR;press release
PR;Pagerank
PRAM;Parameter RAM
Printf;print formatted
PRISM;Synchronization
PRISM;Planning Tool for Resource Integration, and Management
Privmsg;Private Message
PRN;printer
Proglog;progress log
Prolog;Programming in Logic
PROM;programmable read-only memory
PrtScrn;Print Screen key
PS;power supply
PS;PowerShell
PS;print screen
PS/2;Personal System/2
PS2;PlayStation 2
PS3;PlayStation 3
PS4;PlayStation 4
PSAT;Preliminary Scholastic Assessment Test
PSD;Photoshop Document
PSoC;programmable system on a chip
PSP;Paint Shop Pro
PSP;Python Server Pages
PSP;PlayStation Portable
PSR;Problem Steps Recorder
PST;Personal Store
PST;Pacific Standard Time
PSTN;public switched telephone network
PSU;power supply unit
PTR;Public Test Realm
PTS;pseudoterminal slave
PTY;pseudoterminal
PU;physical unit
PUBG;PlayerUnknown's Battlegrounds
PUG;pickup group
PVE;Player vs. Environment
PVP;Player vs. Player
PVR;personal video recorder
PW;password
PWA;progressive web application
PWD;password
PWD;print working directory
PWS;Personal Web Server
Px;pixel
PXE;preboot execution environment
PXI;PCI extensions for instrumentation
Q&A;questions and answers
QA;quality assurance
QAM;quadrature amplitude modulation
QBE;query by example
QHD;Quad High Definition
QIC;quarter-inch cartridge
QLED;quantum-dot light emitting diode
QMAC;Quad Media Access Controller
QnA;questions and answers
QoS;quality of service
QPSK;quadrature phase shift keying
QR Code;Quick Response Code
QSXGA;Quad Super Extended Graphics Array
RAD;rapid application development
RADIUS;Remote Authentication Dial-in User Service
RADSL;rate-adaptive DSL
RAID;redundant array of independent disks
RAM;random access memory
RAMAC;random-access method of accounting and control
RAP;Route Access Protocol
RAR;Roshal Archive
RARP;Reverse Address Resolution Protocol
RAS;Remote Access Service
RAS;row access strobe
RAS;row address select
RAS;remote access server
RAT;Remote Access Trojan
RBAC;role-based access control
RBL;real-time blackhole list
RC;remote connection
RC;remote control
RC;run commands
RC;release candidate
RCE;Reverse Code Engineering
RCE;Regional Coding Enhancement
RCE;Remote Code Execution
RCS;revision control system
RDBMS;relational database management system
RDF;Resource Description Framework
RDMS;report distribution management system
RDP;Remote Desktop Protocol
RDRAM;Rambus Dynamic Random Access Memory
Rec.;receive
REC;Record
ReFS;Resilient File System
Regex;regular expression
Rel;release
REM;remark
REPL;read-eval-print loop
RF;radio frequency
RFC;Request for Comments
RFI;request for information
RFI;Radio Frequency Interference
RFID;radio frequency identification
RF shielding;radio frequency shielding
RGB;red-green-blue
RHCE;Red Hat Certified Engineer
RIAA;Recording Industry Association of America
RIP;Routing Information Protocol
RIP;raster image process
RIP;raster image processor
RIPE notes;Reseaux IP Europeens notes
RISC;reduced instruction set computer
RJ-45;Registered Jack-45
RLE;run-length encoding
RLL encoding;run-length limited encoding
RLP;resource location protocol
RMA;return materials authorization
RMS;root mean square
ROM;read-only memory
ROM BIOS;read-only memory basic input/output system
RO terminal;read-only terminal
RPC;remote procedure call
RPG;raster pattern generator
RPG;report program generator
RPG;role playing game
RPM;revolutions per minute
RPM;Red Hat Package Manager
RRAS;routing and remote access service
RRD;removable rigid disk
RS-449;Recommended Standard-449
RSAC;Recreational Software Advisory Council
RSAT;remote server administration tools
RSAT;regulatory sequence analysis tools
RSL;Rambus signaling level
RSS;Relay Spam Stopper
RSS;Really Simple Syndication
RT;real-time
RT;retweet
RTC;real-time clock
RTF;Rich Text Format
RTOS;Real-time Operating System
RTR;RARE technical report
RTS;Request to Send
RTS;real-time strategy
RTSP;Real Time Streaming Protocol
RTTTL;Ringing Tone Text Transfer Language
RVR;realm vs. realm
RWD;responsive web design
RXD;received data
S2R;send to receive
SaaS;Software as a Service
SACD;Super Audio CD
SAN;storage area network
SANE;Standard Apple Numeric Environment
SAS;Standalone Server
SAS;Serial Attached SCSI
SATA;Serial AT Attachment
SATAN;Security Administrator Tool for Analyzing Networks
SBE;Small Business Edition
SC;Supercomputing Conference
SC;StarCraft
SC;Service Controller
SCA;Single Connector Attachment
Scanf;scan formatted
SCC;Serial Communications Controller
SCCM;system center configuration manager
SCOM;System Center Operations Manager
ScrLk;Scroll Lock key
SCSI;small computer system interface
SD;standard definition
SD;single-density diskette
SD;single-sided diskette
SD;Secure Digital
SDDL;Security Descriptor Definition Language
SDHC card;Secure Digital High Capacity card
SDK;software development kit
SDLC;synchronous data link control
SDLC;systems development life cycle
SDLT;super digital linear tape
SDRAM;synchronous DRAM
SDSL;symmetrical DSL
SDU;service data unit
SE;search engine
SE;second edition
SEA;self-extracting archive
SECC;single edge contact cartridge
SELinux;Security-Enhanced Linux
SEO;search engine optimization
Serial no.;serial number
SERP;search engine results page
Servlet;Java servlet
SETI;Search for Extraterrestrial Intelligence
Setuid;set user ID on execution
Sexp;s-expression
SFF;small form factor
SFTP;Secure File Transfer Protocol
SFTP;SSH File Transfer Protocol
SFW;safe for work
SFX;sound effects
SFX;special effects
SGD;speech-generating device
SGML;Standard Generalized Markup Language
SHV connector;safe high-voltage connector
Sig;signature
SIGINT;signal interrupt
SIGINT;Signals Intelligence
Sim;simulation
SIM card;Subscriber Identity Module card
SIMD;single instruction, multiple data
SIMM;single inline memory module
SIO;super input/output
SIP;single in-line package
SLA;service-level agreement
SLA;sealed lead-acid
SLI;Scalable Link Interface
SLIP;Serial Line Internet Protocol
Slogin;secure login
Slotket;socket adapter
SLSI;super-large scale integration
SMAR;source memory address register
SMART;Self-Monitoring Analysis and Reporting Technology
SMB;system management bus
SMB;server message block
SMBus;System Management Bus
SM card;SmartMedia card
SMI;Simple Mail Interface
SMI;System Management Interrupt
SMIL;Synchronized Multimedia Integration Language
SMM;System Management Mode
SMP;symmetric multiprocessing
SMPS;switched-mode power supply
SMRAM;System Management RAM
SMS;system management server
SMS;storage management subsystem
SMS;short message service
SMT;Surface-mount Technology
SMTP;Simple Mail Transfer Protocol
SNA;Systems Network Architecture
SNMP;Simple Network Management Protocol
SOA;service-oriented architecture
SOA;start of authority
SOAP;Simple Object Access Protocol
SoC;system on a chip
SO-DIMM;small outline dual in-line memory module
SOHO;small office/home office
SOI;silicon on insulator
SOL;Solitaire
SONET;synchronous optical networking
SOP;super operator
Source;source code
SP;spelling
SPARC;Scalar Processor Architecture
SPD;Serial Presence Detection
S/PDIF;Sony and Phillips Digital Interconnect Format
Spec;specification
SPI;system packet interface
SPI;stateful packet inspection
SPI;serial peripheral interface
SPIM;spam over instant message
Spit;Spam over Internet Telephony
SPL;systems programming language
splogs;spam blogs
Spool;simultaneous peripheral operatings online
SPP;Standard Parallel Port
SPS;Standard Power Supply
SQL;Structured Query Language
SRAM;static random access memory
SS;screenshot, South Sudan
SSAP;Source Service Access Point
SSD;solid-state drive
SSE;Streaming SIMD Extensions
SSEM;Small Scale Experimental Machine
SSI;small-scale integration
SSID;service set identifier
SSL;Secure Sockets Layer
SSL;Space Sciences Laboratory
SSP;storage service provider
SSR;solid-state relay
SSTP;Secure Socket Tunneling Protocol
Stdin;standard input
STM;Synchronous Transport Module
STN;supertwisted nematic
STP;software test plan
STP;shielded twisted pair
STP;Spanning Tree Protocol
STR;Suspend-to-RAM
STS;synchronous transport signal
Sub;subscript
Subnet;subnetwork mask
SUID;set user ID
Sup;superscript
SVCD;Super Video CD
SVGA;Super Video Graphics Array
S-Video;Super Video
SW;software
SXGA;Super Extended Graphics Array
SXGA+;Super XGA Plus
SYN;synchronize
sync;synchronize
synth;synthesizer
sysgen;system generation
syslog;system log
sysop;system operator
sysrq;system request
TA;terminal adapter
Ta;Tantalum
TACACS;Terminal Access Controller Access Control System
TAPI;Telephony Application Programming Interface
TAR;tape archive
TCO;total cost of ownership
TCPA;Trusted Computer Platform Alliance
TCP/IP;Transmission Control Protocol/Internet Protocol
TD;table data
TDD;telecommunications device for the deaf
TDP;thermal design power
Tech;technology
Telco line;telecommunications line
TERA;The Exiled Ream of Arborea
TET;text enhancement technology
Texel;texture element
TFTP;Trivial File Transfer Protocol
TH;table head
THD;total harmonic distortion
Ti;Tebi
Ti;Titanium
Ti;Textas Instruments
TIFF;Tagged Image File Format
TIGA;Texas Instruments Graphics Architecture
Tk;toolkit
TLD;top-level domain
TLP;thread-level parallelism
TLS;Transport Layer Security
TM;trademark
TN;twisted nematic
TOF;top of file
TOPS;transparent operating system
Tor;The Onion Router
TOS;type of service
TOS;terms of use
TOS;terms of service
TOS;tape operating system
TPI;tracks per inch
TPM;Trusted Platform Module
TP-PMD;Twisted-Pair Physical Medium Dependant
TR;technical report
Transistor;transfer resistance
Triple DEA;Tripple Data Encryption Algorithm
TRS;Telecommunications Relay Service
TSR;terminate-and-stay-resident
TT;Turing test
TTFB;time to first byte
TTL;transistor-transistor logic
TTS;text-to-speech
TTY;teletypewriter
TTY;teletype
TV;television
TXD;trasmit data
UA;user agent
UAC;User Account Control
Uarch;microarchitecture
UART;Universal Asynchronous Receiver-Transmitter
UBCD;Ultimate Boot CD
UC;uppercase
UCE;unsolicited commercial e-mail
UDF;user-defined function
UDF;user-defined font
UDF;Universal Disk Format
UDID;Unique Device Identification
UDMA;Ultra Direct Memory Access
UDP;User Datagram Protocol
UDSL;unidirectional DSL
UEFI;Unified Extensible Firmware Interface
UHCI;Universal Host Controller Interface
UHD;Ultra High Definition
UI;user interface
U/L;upload
UL;uplink
UL;upload
UL;unordered list
ULSI;Ultra Large Scale Integration
UMA;Upper Memory Area
UMB;upper memory block
UNIVAC;Universal Automatic Computer
UPC;universal product code
UPI;User Program Interface
UPnP;Universal Plug and Play
UPS;uninterruptible power supply
URC;Uniform Resource Characteristic
URI;Uniform Resource Identifier
URL;Uniform Resource Locator
URN;Uniform Resource Name
USB;universal serial bus
USMT;User State Migration Tool
USP;unique selling point
USR;user
USRT;Universal Synchronous Receiver-Transmitter
USWC;uncachable speculative write combining
UT;Universal Time
UTC;Coordinated Universal Time
UTF;Unicode Transformation Format
UTM;Urchin Tracking Module
UTM;universal Turing machine
UTM;Unified Threat Management
UTP;unshielded twisted pair cable
Uuencode;Unix-to-Unix encode
UUID;universal unique identifier
UV;ultraviolet
UWIN;University of Washington Information Navigator
UX;user experience
UXGA;Ultra Extended Graphics Array
VA;virtual address
VAC;Valve Anti-Cheat
VADSL;very high bit rate asymmetric digital subscriber line
VAN;value-added network
VAR;value-added reseller
VB;Visual Basic
VBR;variable bitrate
VBScript;Microsoft Visual Basic Scripting Edition
VBV;video buffering verifier
VC;version control
VC;virtual circuit
VC;videoconferencing
VC;venture capital
VCEG;Video Coding Experts Group
VCEG;Visual Coding Experts Group
VCI;virtual circuit identifier
VCPI;virtual control program interface
VCR;video cassette recorder
VDC;voltage direct current
VDD;virtual device driver, virtual disk drive
VDSL;very high data rate DSL
VDU;visual display unit
Ver;Version
Veronica;Very Easy Rodent-Oriented Net-wide Index to Computer Archives
VESA;Video Electronics Standard Association
VGA;Video Graphics Array
VGA;Video Graphics Adapter
VHDL;VHSIC Hardware Description Language 
VHF;very high frequency
Vhost;virtual host
VHS;Video Home System
VIM;Vendor Independent Messaging
VIP;very important person
VLAN;virtual local area network
VLB;Vesa Local Bus
VL Bus;Vesa Local Bus
VLC;VideoLAN
VLSI;very-large-scale integration
VM;voicemail
VM;virtual memory
VM;virtual machine
VMEbus;Versa Module Eurocard bus
VMM;Virtual Machine Manager
VMM;Virtual Machine Monitor
VMS;virtual memory system
VMS;voicemail system
VNC;Virtual Network Computing
VOD;video on demand
VoIP;Voice over Internet Protocol
VoMM;eVade o' Matic Module
VPN;virtual private network
VPS;virtual private server
VR;virtual reality
VRAM;video random access memory
VRLA;valve-regulated lead-acid
VRM;voltage regulator module
VRML;Virtual Reality Modeling Language
Vs;versus
Vs;Visual Studio
VSAM;virtual storage access method
VTuber;Virtual YouTuber
W;width
W3C;World Wide Web Consortium
WAIS;Wide Area Information Server
WAN;wide area network
WAP;wireless access point
WARP;Warning, Advice and Reporting Point
WBEM;Web-based Enterprise Management
WCDMA;Wideband Code Division Multiple Access
WCN;Windows Connect Now
WD;working draft
WD;working directory
WD;Western Digital
WDF;Window Driver Foundation
Web app;web application
WEP;Wired Equivalent Privacy
WFM;Wired for Management
WFP;Windows File Protection
WGA;Windows Genuine Advantage
WiMAX;Worldwide Interoperability for Microwave Access
Windows PE;Windows Pre-install Environment
Winsock;Windows socket
WISP;wireless Internet service provider
WMF;Windows metafile format
WMI;Windows Management Instrumentation
WML;Website META Language
WML;Wireless Markup Language
WOL;Wake-on-LAN
WOW;Windows on Windows
WP;WordPress
WP;word processor
Wpcomp;write pre-comp
Wpcomp;word processing competency
WQXGA;Wide Quad Extended Graphics Array
WRAM;Windows RAM
WSXGA;Widescreen Super eXtended Graphics Array
WWW;World Wide Web
WYSIWYG;what you see is what you get
WYSIWYP;what you see is what you print
X;X Window System
X11;X Window System
XDF;extended density format
XGA;Extended Graphics Array
XHTML;Extensible Hypertext markup Language
XML;Extensible Markup Language
XMPP;Extensible Messaging and Presence Protocol
XMS;extended memory specification
XPM;XP mode
XSL;Extensible Stylesheet Language
XSLT;Extensible Stylesheet Language Transformations
XSS;cross-site scripting
XT;extended technology
